id,x,y,demanda_gasohol,demanda_diesel,ventana_inicio,ventana_fin
0,35.0,35.0,0,0,04:00,07:50
36,2.0,60.0,510,480,04:40,06:00
68,56.0,39.0,420,380,05:50,07:00
22,45.0,10.0,510,400,05:10,06:10
3,55.0,45.0,490,520,04:50,07:10
31,31.0,52.0,320,490,04:10,07:20
42,24.0,12.0,510,350,04:20,05:40
8,10.0,43.0,430,290,05:20,06:00
24,65.0,35.0,580,470,04:50,07:10
53,37.0,31.0,520,640,05:20,06:00
63,27.0,69.0,620,610,04:30,07:00
21,45.0,20.0,220,660,04:10,07:20
71,57.0,68.0,640,370,04:30,06:30
78,61.0,52.0,560,480,05:10,06:10
12,50.0,35.0,580,350,04:10,07:20
65,62.0,77.0,430,200,04:40,06:00
95,25.0,24.0,300,460,04:10,07:30
58,36.0,26.0,480,430,06:50,07:30
1,41.0,49.0,420,460,04:10,07:30
38,5.0,5.0,530,350,05:10,05:50
19,15.0,60.0,370,620,04:30,06:30
67,67.0,5.0,400,650,05:10,05:50
11,20.0,65.0,410,700,04:50,05:30
15,30.0,5.0,400,370,04:50,05:30
62,24.0,58.0,330,370,04:40,05:20
30,40.0,60.0,400,610,04:40,05:50
90,31.0,67.0,470,650,04:40,06:40
86,4.0,18.0,480,760,04:40,06:30
64,15.0,77.0,600,600,04:40,05:50
34,65.0,55.0,550,490,04:30,07:10
77,53.0,43.0,300,440,06:40,07:20
54,57.0,29.0,490,480,05:30,07:20
99,20.0,26.0,760,510,05:10,05:50
45,6.0,38.0,530,740,04:20,05:40
46,2.0,48.0,480,520,05:00,07:00
47,8.0,56.0,430,370,04:30,07:00
100,18.0,18.0,390,530,06:30,07:20
91,15.0,19.0,560,430,04:20,07:20
97,25.0,21.0,320,430,05:30,07:10
61,12.0,24.0,450,520,04:20,06:20
27,35.0,40.0,550,670,04:00,05:20
98,19.0,21.0,530,250,04:20,07:20
50,47.0,47.0,360,580,04:40,07:30
10,30.0,60.0,350,300,05:40,06:30
26,45.0,30.0,490,650,04:50,07:30
25,65.0,20.0,520,470,06:30,07:10
59,21.0,24.0,510,510,04:10,07:30
56,53.0,12.0,540,600,05:40,06:50
94,26.0,27.0,730,410,04:30,07:00
93,18.0,24.0,470,570,06:00,07:20
17,5.0,30.0,390,630,06:00,07:10
