id,x,y,demanda_gasohol,demanda_diesel,ventana_inicio,ventana_fin
0,35.0,35.0,0,0,04:00,09:00
36,2.0,60.0,1210,1190,04:40,06:00
68,56.0,39.0,1160,1180,05:50,07:00
22,45.0,10.0,1210,1250,05:10,06:10
3,55.0,45.0,1200,1210,04:50,07:10
31,31.0,52.0,1110,1240,04:10,07:20
42,24.0,12.0,1210,1200,04:20,05:40
8,10.0,43.0,1170,1190,05:20,06:00
24,65.0,35.0,1240,1200,04:50,07:10
53,37.0,31.0,1210,1250,05:20,06:00
63,27.0,69.0,1260,1210,04:30,07:00
21,45.0,20.0,1060,1200,04:10,07:20
71,57.0,68.0,1270,1210,04:30,06:30
78,61.0,52.0,1230,1150,05:10,06:10
12,50.0,35.0,1240,1270,04:10,07:20
65,62.0,77.0,1160,1240,04:40,06:00
95,25.0,24.0,1100,1220,04:10,07:30
58,36.0,26.0,1190,1230,06:50,07:30
1,41.0,49.0,1160,1190,04:10,07:30
38,5.0,5.0,1210,1200,05:10,05:50
19,15.0,60.0,1130,1120,04:30,06:30
67,67.0,5.0,1150,1100,05:10,05:50
11,20.0,65.0,1160,1130,04:50,05:30
15,30.0,5.0,1150,1240,04:50,05:30
62,24.0,58.0,1110,1160,04:40,05:20
30,40.0,60.0,1150,1200,04:40,05:50
